route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:049::8895208:8895505:3:2415:20221202,Grammont,11000,,1,,1
2,000002,88____:049::8895208:8892601:4:59:20221210,Audenarde,11000,,2,,1
3,000003,88____:049::8891009:8891702:2:42:20230128,Ostende,11000,,3,,1
4,000004,88____:049::8895802:8895000:3:708:20230115,Alost,11000,,4,,1
5,000005,88____:049::8812146:8893401:5:40:20230204,Termonde,11000,,5,,1
6,000006,88____:049::8892007:8891009:10:2422:20230103,Bruges,11000,,6,,1
2,000007,88____:049::8895208:8892601:4:100:20230210,Audenarde,11000,,7,,1
7,000008,88____:049::8891009:8891660:5:654:20230212,Knokke,11000,,8,,1
8,000009,88____:049::8895802:8892601:12:2530:20230217,Audenarde,11000,,9,,1
9,000010,88____:049::8895208:8896008:7:2436:20221118,Courtrai,11001,,10,,1
1,000011,88____:049::8895208:8895505:3:2415:20221209,Grammont,11001,,11,,1
2,000012,88____:049::8895208:8892601:4:59:20221203,Audenarde,11001,,12,,1
3,000003,88____:049::8891009:8891702:2:159:20230128,Ostende,11001,,13,,1
4,000004,88____:049::8895802:8895000:3:808:20230115,Alost,11001,,14,,1
10,000013,88____:049::8893542:8892007:6:56:20230203,Gand-Saint-Pierre,11001,,15,,1
6,000014,88____:049::8892007:8891009:10:126:20230104,Bruges,11001,,16,,1
7,000008,88____:049::8891009:8891660:8:838:20230212,Knokke,11001,,17,,1
2,000015,88____:049::8895208:8892601:4:59:20221119,Audenarde,11002,,18,,1
6,000016,88____:049::8892007:8891009:10:131:20221210,Bruges,11002,,19,,1
4,000004,88____:049::8895802:8895000:3:908:20230115,Alost,11002,,20,,1
11,000017,88____:049::8892007:8892106:3:616:20230205,Deinze,11002,,21,,1
6,000006,88____:049::8892007:8891009:10:2447:20230103,Bruges,11002,,22,,1
7,000008,88____:049::8891009:8891660:8:938:20230212,Knokke,11002,,23,,1
12,000010,88____:049::8896008:8896735:8:2450:20221118,Poperinge,11003,,24,,1
6,000018,88____:049::8892007:8891009:10:2445:20221209,Bruges,11003,,25,,1
4,000004,88____:049::8895802:8895000:3:1008:20230115,Alost,11003,,26,,1
11,000017,88____:049::8892007:8892106:3:716:20230205,Deinze,11003,,27,,1
6,000006,88____:049::8892007:8891009:10:2545:20230103,Bruges,11003,,28,,1
7,000008,88____:049::8891009:8891660:8:1038:20230212,Knokke,11003,,29,,1
6,000010,88____:049::8892007:8891009:10:2445:20221118,Bruges,11004,,30,,1
6,000018,88____:049::8892007:8891009:10:2549:20221209,Bruges,11004,,31,,1
4,000004,88____:049::8895802:8895000:3:1108:20230115,Alost,11004,,32,,1
11,000017,88____:049::8892007:8892106:3:816:20230205,Deinze,11004,,33,,1
3,000014,88____:049::8891009:8891702:2:102:20230104,Ostende,11004,,34,,1
7,000008,88____:049::8891009:8891660:8:1138:20230212,Knokke,11004,,35,,1
6,000010,88____:049::8892007:8891009:10:2545:20221118,Bruges,11005,,36,,1
6,000018,88____:049::8892007:8891009:10:2422:20221209,Bruges,11005,,37,,1
4,000004,88____:049::8895802:8895000:3:1208:20230115,Alost,11005,,38,,1
11,000017,88____:049::8892007:8892106:3:916:20230205,Deinze,11005,,39,,1
3,000014,88____:049::8891009:8891702:2:221:20230104,Ostende,11005,,40,,1
7,000008,88____:049::8891009:8891660:8:1238:20230212,Knokke,11005,,41,,1
6,000019,88____:049::8892007:8891009:10:820:20230219,Bruges,11005,,42,,1
6,000018,88____:049::8892007:8891009:10:2447:20221209,Bruges,11006,,43,,1
6,000010,88____:049::8892007:8891009:10:2422:20221118,Bruges,11006,,44,,1
4,000004,88____:049::8895802:8895000:3:1308:20230115,Alost,11006,,45,,1
11,000017,88____:049::8892007:8892106:3:1016:20230205,Deinze,11006,,46,,1
13,000020,88____:049::8892205:8896800:2:737:20230122,Roulers,11006,,47,,1
7,000008,88____:049::8891009:8891660:8:1338:20230212,Knokke,11006,,48,,1
6,000019,88____:049::8892007:8891009:10:920:20230219,Bruges,11006,,49,,1
6,000015,88____:049::8892007:8891009:10:131:20221119,Bruges,11007,,50,,1
4,000004,88____:049::8895802:8895000:3:1408:20230115,Alost,11007,,51,,1
11,000017,88____:049::8892007:8892106:3:1116:20230205,Deinze,11007,,52,,1
13,000020,88____:049::8892205:8896800:2:837:20230122,Roulers,11007,,53,,1
7,000008,88____:049::8891009:8891660:8:1438:20230212,Knokke,11007,,54,,1
6,000019,88____:049::8892007:8891009:10:1020:20230219,Bruges,11007,,55,,1
6,000010,88____:049::8892007:8891009:10:2447:20221118,Bruges,11008,,56,,1
4,000004,88____:049::8895802:8895000:3:1508:20230115,Alost,11008,,57,,1
11,000017,88____:049::8892007:8892106:3:1216:20230205,Deinze,11008,,58,,1
13,000020,88____:049::8892205:8896800:2:937:20230122,Roulers,11008,,59,,1
7,000008,88____:049::8891009:8891660:8:1538:20230212,Knokke,11008,,60,,1
6,000019,88____:049::8892007:8891009:10:1120:20230219,Bruges,11008,,61,,1
4,000004,88____:049::8895802:8895000:3:1608:20230115,Alost,11009,,62,,1
11,000017,88____:049::8892007:8892106:3:1316:20230205,Deinze,11009,,63,,1
13,000020,88____:049::8892205:8896800:2:1037:20230122,Roulers,11009,,64,,1
7,000008,88____:049::8891009:8891660:8:1638:20230212,Knokke,11009,,65,,1
6,000019,88____:049::8892007:8891009:10:1220:20230219,Bruges,11009,,66,,1
